City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Bandarbeyla,SO,74.16,scattered clouds,9.4942,50.8122,JABIR HOTEL
416,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
417,Riachao,BR,74.3,clear sky,-7.3619,-46.6172,Pousada Nordestina
418,Faya,SA,66.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
421,Ariquemes,BR,75.27,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
422,Guanica,PR,84.13,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
423,Boueni,YT,67.98,clear sky,-12.9025,45.0761,The feet in water
424,Tahta,EG,84.27,few clouds,26.7693,31.5021,فندق الزيات
425,Kenora,CA,81.57,few clouds,49.8167,-94.4337,Maynard Lake Lodge
426,Powell River,CA,78.44,few clouds,49.8496,-124.5361,Rodmay Hotel
427,Atambua,ID,75.54,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
432,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
433,Nantucket,US,80.71,mist,41.2835,-70.0995,Jared Coffin House
434,Xichang,CN,66.87,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
435,Le Moule,GP,78.84,broken clouds,16.3332,-61.3473,Lakaz Hananou
439,High Prairie,CA,73.54,scattered clouds,55.4334,-116.4858,Royal Star Motor Inn
441,Ajdabiya,LY,73.71,clear sky,30.7554,20.2263,Almadina Hotel
442,Ha Tinh,VN,79.57,light rain,18.3333,105.9,Phú Quý
444,Jalu,LY,75.7,clear sky,29.0331,21.5482,صاحبة الفخامة
445,Acarau,BR,77.02,broken clouds,-2.8856,-40.12,castelo pizzaria
446,Vao,NC,73.98,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
447,Preobrazheniye,RU,66.78,overcast clouds,42.9019,133.9064,Campsite Orlan
449,Xuddur,SO,69.69,overcast clouds,4.1213,43.8894,Banjanay Hotel
451,Marzuq,YE,74.93,overcast clouds,14.4,46.4667,
452,Adre,TD,75.87,overcast clouds,13.4667,22.2,
453,Yorosso,ML,71.94,light rain,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
454,Curuca,BR,74.17,scattered clouds,-0.7289,-47.8481,Hotel Curuça
455,Biltine,TD,80.64,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
456,Skoghall,SE,66.76,overcast clouds,59.3232,13.4655,Mörudden Camping & Stugby
457,Lagunillas,VE,81.93,clear sky,10.1301,-71.2595,Casa de Beatriz y Chucho
459,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
461,Pizarro,CO,77.07,moderate rain,4.9533,-77.366,Hotel Limonar
462,Lingao,CN,81.84,clear sky,19.9103,109.6859,Lingao Ditai Inn
463,Brindisi,IT,77.77,clear sky,40.5833,17.6667,Agriturismo Tibitone
464,Benjamin Constant,BR,73.38,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
465,Sambava,MG,69.42,light rain,-14.2667,50.1667,Melrose
